Epoch,Loss
1,0.026764908953153133
2,0.002093195470440545
3,0.00186254873795041
4,0.0017300943335297316
5,0.0015676935520658858
6,0.0013016708084024272
7,0.0011960137041640384
8,0.0009374653480460802
9,0.0007414378322885674
10,0.0005860166179701883
11,0.00044306099639078325
12,0.0003152580454152768
13,0.0002446512343641509
14,0.00014982709203381213
15,0.00010561988486722815
16,6.255721322042598e-05
17,4.5763956027720506e-05
18,3.581079917909766e-05
19,2.9418780648443066e-05
20,2.677420457606266e-05
21,2.600788800326889e-05
22,2.8428871642593145e-05
23,2.6917835773154345e-05
24,2.593635014823582e-05
25,3.2262397215703936e-05
26,2.8077133547316627e-05
27,2.8338910426449303e-05
28,3.0488560386591518e-05
29,3.549137555681214e-05
