milliseconds (ms),frame_start,frame_end,bpm
11,0,0,84.21083999999999
27,0,0,84.21083999999999
43,1,0,84.21083999999999
59,1,1,84.21083999999999
75,2,1,84.21083999999999
91,2,2,84.21083999999999
107,3,2,84.21083999999999
123,3,2,84.21083999999999
139,3,3,84.21083999999999
155,4,3,84.21083999999999
171,4,4,84.21083999999999
187,5,4,84.21083999999999
203,5,5,84.21083999999999
219,6,5,84.21083999999999
235,6,6,84.21083999999999
251,7,6,84.21083999999999
267,7,7,84.21083999999999
283,8,7,84.21083999999999
299,8,8,84.21083999999999
315,9,8,84.21083999999999
331,9,8,84.21083999999999
347,9,9,84.21083999999999
363,10,9,84.21083999999999
379,10,10,84.21083999999999
395,11,10,84.21083999999999
411,11,11,84.21083999999999
427,12,11,84.21083999999999
443,12,12,84.21083999999999
459,13,12,84.21083999999999
475,13,13,84.21083999999999
491,14,13,84.21083999999999
507,14,13,84.21083999999999
523,14,14,84.21083999999999
539,15,14,84.21083999999999
555,15,15,84.21083999999999
571,16,15,84.21083999999999
587,16,16,84.21083999999999
603,17,16,84.21083999999999
619,17,17,84.21083999999999
635,18,17,84.21083999999999
651,18,18,84.21083999999999
667,19,18,84.21083999999999
683,19,19,84.21083999999999
699,20,19,84.21083999999999
715,20,19,84.21083999999999
731,20,20,84.21083999999999
747,21,20,84.21083999999999
763,21,21,84.21083999999999
779,22,21,84.21083999999999
795,22,22,84.21083999999999
811,23,22,84.21083999999999
827,23,23,84.21083999999999
843,24,23,84.21083999999999
859,24,24,84.21083999999999
875,25,24,84.21083999999999
891,25,25,84.21083999999999
907,26,25,84.21083999999999
923,26,25,84.21083999999999
939,26,26,84.21083999999999
955,27,26,84.21083999999999
971,27,27,84.21083999999999
987,28,27,84.21083999999999
1003,28,28,84.21083999999999
1019,29,28,84.21083999999999
1035,29,29,84.21083999999999
1051,30,29,84.21083999999999
1067,30,30,84.21083999999999
1083,31,30,84.21083999999999
1099,31,30,84.21083999999999
1115,31,31,84.21083999999999
1131,32,31,84.21083999999999
1147,32,32,84.21083999999999
1163,33,32,84.21083999999999
1179,33,33,84.21083999999999
1195,34,33,84.21083999999999
1211,34,34,84.21083999999999
1227,35,34,84.21083999999999
1243,35,35,84.21083999999999
1259,36,35,84.21083999999999
1275,36,36,84.21083999999999
1291,37,36,84.21083999999999
1307,37,36,84.21083999999999
1323,37,37,84.21083999999999
1339,38,37,84.21083999999999
1355,38,38,84.21083999999999
1371,39,38,84.21083999999999
1387,39,39,84.21083999999999
1403,40,39,84.21083999999999
1419,40,40,84.21083999999999
1435,41,40,84.21083999999999
1451,41,41,84.21083999999999
1467,42,41,84.21083999999999
1483,42,41,84.21083999999999
1499,42,42,84.21083999999999
1515,43,42,84.21083999999999
1531,43,43,84.21083999999999
1547,44,43,84.21083999999999
1563,44,44,84.21083999999999
1579,45,44,84.21083999999999
1595,45,45,84.21083999999999
1611,46,45,84.21083999999999
1627,46,46,84.21083999999999
1643,47,46,84.21083999999999
1659,47,47,84.21083999999999
1675,48,47,84.21083999999999
1691,48,47,84.21083999999999
1707,48,48,84.21083999999999
1723,49,48,84.21083999999999
1739,49,49,84.21083999999999
1755,50,49,84.21083999999999
1771,50,50,84.21083999999999
1787,51,50,84.21083999999999
1803,51,51,84.21083999999999
1819,52,51,84.21083999999999
1835,52,52,84.21083999999999
1851,53,52,84.21083999999999
1867,53,52,84.21083999999999
1883,53,53,84.21083999999999
1899,54,53,84.21083999999999
1915,54,54,84.21083999999999
1931,55,54,84.21083999999999
1947,55,55,84.21083999999999
1963,56,55,84.21083999999999
1979,56,56,84.21083999999999
1995,57,56,84.21083999999999
2011,57,57,84.21083999999999
2027,58,57,84.21083999999999
2043,58,58,84.21083999999999
2059,59,58,84.21083999999999
2075,59,58,84.21083999999999
2091,59,59,84.21083999999999
2107,60,59,84.21083999999999
2123,60,60,84.21083999999999
2139,61,60,84.21083999999999
2155,61,61,84.21083999999999
2171,62,61,84.21083999999999
2187,62,62,84.21083999999999
2203,63,62,84.21083999999999
2219,63,63,84.21083999999999
2235,64,63,84.21083999999999
2251,64,63,84.21083999999999
2267,64,64,84.21083999999999
2283,65,64,84.21083999999999
2299,65,65,84.21083999999999
2315,66,65,84.21083999999999
2331,66,66,84.21083999999999
2347,67,66,84.21083999999999
2363,67,67,84.21083999999999
2379,68,67,84.21083999999999
2395,68,68,84.21083999999999
2411,69,68,84.21083999999999
2427,69,69,84.21083999999999
2443,70,69,84.21083999999999
2459,70,69,84.21083999999999
2475,70,70,84.21083999999999
2491,71,70,84.21083999999999
2507,71,71,84.21083999999999
2523,72,71,84.21083999999999
2539,72,72,84.21083999999999
2555,73,72,84.21083999999999
2571,73,73,84.21083999999999
2587,74,73,84.21083999999999
2603,74,74,84.21083999999999
2619,75,74,84.21083999999999
2635,75,75,84.21083999999999
2651,76,75,84.21083999999999
2667,76,75,84.21083999999999
2683,76,76,84.21083999999999
2699,77,76,84.21083999999999
2715,77,77,84.21083999999999
2731,78,77,84.21083999999999
2747,78,78,84.21083999999999
2763,79,78,84.21083999999999
2779,79,79,84.21083999999999
2795,80,79,84.21083999999999
2811,80,80,84.21083999999999
2827,81,80,84.21083999999999
2843,81,80,84.21083999999999
2859,81,81,84.21083999999999
2875,82,81,84.21083999999999
2891,82,82,84.21083999999999
2907,83,82,84.21083999999999
2923,83,83,84.21083999999999
2939,84,83,84.21083999999999
2955,84,84,84.21083999999999
2971,85,84,84.21083999999999
2987,85,85,84.21083999999999
3003,86,85,84.21083999999999
3019,86,86,84.21083999999999
3035,87,86,84.21083999999999
3051,87,86,84.21083999999999
3067,87,87,84.21083999999999
3083,88,87,84.21083999999999
3099,88,88,84.21083999999999
3115,89,88,84.21083999999999
3131,89,89,84.21083999999999
3147,90,89,84.21083999999999
3163,90,90,84.21083999999999
3179,91,90,84.21083999999999
3195,91,91,96.24095999999999
3211,92,91,96.24095999999999
3227,92,91,96.24095999999999
3243,92,92,96.24095999999999
3259,93,92,96.24095999999999
3275,93,93,96.24095999999999
3291,94,93,96.24095999999999
3307,94,94,96.24095999999999
3323,95,94,96.24095999999999
3339,95,95,96.24095999999999
3355,96,95,96.24095999999999
3371,96,96,96.24095999999999
3387,97,96,96.24095999999999
3403,97,97,96.24095999999999
3419,98,97,96.24095999999999
3435,98,97,96.24095999999999
3451,98,98,96.24095999999999
3467,99,98,96.24095999999999
3483,99,99,96.24095999999999
3499,100,99,96.24095999999999
3515,100,100,96.24095999999999
3531,101,100,96.24095999999999
3547,101,101,96.24095999999999
3563,102,101,96.24095999999999
3579,102,102,96.24095999999999
3595,103,102,96.24095999999999
3611,103,102,96.24095999999999
3627,103,103,96.24095999999999
3643,104,103,96.24095999999999
3659,104,104,96.24095999999999
3675,105,104,96.24095999999999
3691,105,105,96.24095999999999
3707,106,105,96.24095999999999
3723,106,106,96.24095999999999
3739,107,106,96.24095999999999
3755,107,107,96.24095999999999
3771,108,107,96.24095999999999
3787,108,108,96.24095999999999
3803,109,108,96.24095999999999
3819,109,108,96.24095999999999
3835,109,109,96.24095999999999
3851,110,109,96.24095999999999
3867,110,110,96.24095999999999
3883,111,110,96.24095999999999
3899,111,111,96.24095999999999
3915,112,111,96.24095999999999
3931,112,112,96.24095999999999
3947,113,112,96.24095999999999
3963,113,113,96.24095999999999
3979,114,113,96.24095999999999
3995,114,114,96.24095999999999
4011,115,114,96.24095999999999
4027,115,114,96.24095999999999
4043,115,115,96.24095999999999
4059,116,115,96.24095999999999
4075,116,116,96.24095999999999
4091,117,116,96.24095999999999
4107,117,117,96.24095999999999
4123,118,117,96.24095999999999
4139,118,118,96.24095999999999
4155,119,118,96.24095999999999
4171,119,119,96.24095999999999
4187,120,119,96.24095999999999
4203,120,119,96.24095999999999
4219,120,120,96.24095999999999
4235,121,120,96.24095999999999
4251,121,121,96.24095999999999
4267,122,121,96.24095999999999
4283,122,122,96.24095999999999
4299,123,122,96.24095999999999
4315,123,123,96.24095999999999
4331,124,123,96.24095999999999
4347,124,124,96.24095999999999
4363,125,124,96.24095999999999
4379,125,125,96.24095999999999
4395,126,125,96.24095999999999
4411,126,125,96.24095999999999
4427,126,126,96.24095999999999
4443,127,126,96.24095999999999
4459,127,127,96.24095999999999
4475,128,127,96.24095999999999
4491,128,128,96.24095999999999
4507,129,128,96.24095999999999
4523,129,129,96.24095999999999
4539,130,129,96.24095999999999
4555,130,130,96.24095999999999
4571,131,130,96.24095999999999
4587,131,130,96.24095999999999
4603,131,131,96.24095999999999
4619,132,131,96.24095999999999
4635,132,132,96.24095999999999
